N,K,time
1725000,531,108.324249
1726000,527,105.361496
1727000,51,132.598679
1728000,60,120.142700
1729000,61,130.154037
1730000,56,117.289452
1731000,62,104.677025
1732000,46,124.103050
1733000,55,132.725174
1734000,62,124.389473
1735000,47,115.239265
1736000,52,147.783264
1737000,44,141.156433
1738000,57,113.136986
1739000,51,118.461113
1740000,63,124.143463
1741000,48,127.008110
1742000,3456,240.899170
1743000,57,110.460762
1744000,62,119.791939
1745000,1770,193.216171
1746000,1760,184.176453
1747000,1440,131.582321
1748000,1771,199.233444
1749000,1764,179.268997
1750000,1779,170.118851
1751000,1779,196.450516
1752000,395,135.804916
1753000,191,139.336533
1754000,66,123.086044
1755000,1779,214.689667
1756000,532,114.066139
1757000,547,100.602341
1758000,1836,172.054214
1759000,1803,188.776871
1760000,1940,198.229370
1761000,1777,193.075424
1762000,1922,178.518860
1763000,1784,201.871216
1764000,1783,190.319733
1765000,1781,210.868774
1766000,1797,184.914948
1767000,1790,235.961212
1768000,1941,200.400589
1769000,1801,183.171799
1770000,1797,188.074280
1771000,1790,177.805725
1772000,1791,196.449707
1773000,1993,190.874542
1774000,562,107.588409
1775000,1986,189.670639
1776000,2091,190.120407
1777000,54,110.138985
1778000,2088,182.255386
1779000,2016,201.381271
1780000,556,85.856422
1781000,546,110.788780
1782000,1936,171.067184
1783000,2164,178.169769
1784000,2001,186.793701
1785000,2028,180.445023
1786000,1969,169.008408
1787000,2241,188.484146
1788000,1892,215.928055
1789000,64,115.160027
1790000,61,110.072990
1791000,57,120.806030
1792000,529,133.426544
1793000,541,134.577240
1794000,582,103.798065
1795000,574,142.789185
1796000,585,92.272362
1797000,1820,193.595627
1798000,74,121.163872
1799000,63,139.985306
1800000,568,101.489418
1801000,2003,167.529770
1802000,540,90.316223
1803000,563,111.014435
1804000,533,73.115738
1805000,551,290.621826
1806000,554,296.042297
1807000,2140,186.211426
1808000,55,123.173347
1809000,64,123.315071
1810000,57,126.930733
1811000,58,112.285194
1812000,55,130.690170
1813000,46,144.998535
1814000,64,119.296494
1815000,69,115.742500
1816000,53,125.128593
1817000,567,102.427681
1818000,563,126.880699
1819000,539,95.971481
1820000,56,122.333473
1821000,551,110.272430
1822000,554,100.666367
1823000,2103,177.636765
1824000,585,113.284424
1825000,551,103.255768
1826000,552,138.300705
1827000,607,89.438896
1828000,550,331.690979
1829000,530,105.932533
1830000,550,84.411766
1831000,576,116.350357
1832000,71,117.561058
1833000,71,112.961174
1834000,60,160.765930
1835000,48,125.598442
1836000,54,124.236626
1837000,60,146.489548
1838000,55,123.281059
1839000,1855,157.409088
1840000,552,96.833015
1841000,561,114.413513
1842000,584,118.824944
1843000,554,150.209198
1844000,63,112.412643
1845000,63,113.790321
1846000,553,98.680557
1847000,575,108.907234
1848000,619,129.957657
1849000,61,155.103439
1850000,67,106.382797
1851000,60,133.863480
1852000,59,127.657829
1853000,600,124.920868
1854000,59,116.584930
1855000,48,109.900085
1856000,1874,160.693954
1857000,61,112.981087
1858000,64,113.689171
1859000,65,130.230255
1860000,65,112.978348
1861000,65,114.138527
1862000,586,120.641106
1863000,556,115.294281
1864000,551,87.540230
1865000,540,122.311714
1866000,580,161.286163
1867000,584,155.891403
1868000,592,119.243927
1869000,580,121.575356
1870000,62,110.232224
1871000,564,99.013710
1872000,523,118.270973
1873000,59,115.607147
1874000,69,139.771652
1875000,545,113.368614
1876000,67,125.079147
1877000,64,131.493851
1878000,65,120.608276
1879000,66,118.769218
1880000,590,126.872345
1881000,587,130.814789
1882000,606,93.444084
1883000,607,96.214661
1884000,594,170.203842
1885000,603,88.129250
1886000,588,109.681808
1887000,66,137.764038
1888000,553,106.532021
1889000,581,108.346428
1890000,578,108.994263
1891000,2200,171.989700
1892000,574,82.300079
1893000,586,116.833626
1894000,592,124.624016
1895000,616,113.800034
1896000,593,122.196243
1897000,588,114.386467
1898000,584,99.331726
1899000,611,94.830803
1900000,611,111.282082
1901000,577,116.333328
1902000,576,82.334503
1903000,619,106.518379
1904000,66,131.567078
1905000,597,128.479706
1906000,604,113.874115
1907000,609,117.892944
1908000,584,92.890297
1909000,595,113.765739
1910000,68,124.329971
1911000,574,311.038696
1912000,2201,187.488098
1913000,61,127.809578
1914000,1934,203.842529
1915000,1935,202.035156
1916000,59,122.497459
1917000,1928,177.324081
1918000,59,112.235840
1919000,71,133.874542
1920000,68,129.725510
1921000,598,108.057571
1922000,2310,291.267731
1923000,588,141.151840
1924000,552,105.322968
1925000,606,135.992142
1926000,66,128.462906
1927000,73,113.891586
1928000,70,138.203064
1929000,47,133.674591
1930000,77,123.802582
1931000,64,119.847885
1932000,63,137.379150
1933000,53,117.671150
1934000,64,141.769333
