s,k,time
75301,0,71.272362
75401,0,126.542366
75501,0,92.362556
75601,0,79.817665
75701,0,79.271858
75801,0,81.908417
75901,0,77.090218
76001,1,106.090446
76101,1,82.544746
76201,1,2526.755127
76301,0,84.725998
76401,0,118.633812
76501,0,83.635277
76601,0,99.180878
76701,0,85.089462
76801,0,86.362724
76901,0,78.908226
77001,0,83.544487
77101,0,75.272041
77201,0,77.453781
77301,0,79.635429
77401,0,73.090744
77501,0,81.817123
77601,0,82.998909
77701,0,85.453590
77801,0,79.999336
77901,0,82.908028
78001,0,78.090401
78101,0,75.635712
78201,0,81.271828
78301,0,104.361275
78401,0,90.544029
78501,0,77.817329
78601,0,79.271873
78701,0,85.816902
78801,0,81.726456
78901,0,78.908211
79001,0,81.453812
79101,0,85.453293
79201,0,83.544556
79301,0,84.362328
79401,0,78.726631
79501,0,83.635254
79601,0,82.998894
79701,0,77.090210
79801,0,80.181061
79901,0,89.089478
80001,0,81.180847
80101,0,83.635445
80201,0,83.362701
80301,0,82.544281
80401,0,99.362473
80501,0,79.999046
80601,0,105.634941
80701,0,84.362465
80801,0,103.453148
80901,0,84.362343
81001,0,119.814972
81101,0,88.725975
81201,0,90.272041
81301,0,75.999336
81401,0,94.180901
81501,0,81.453583
81601,0,95.908180
81701,0,84.362617
81801,0,103.180519
81901,0,73.090973
82001,0,82.090034
82101,0,81.453621
82201,0,90.544083
82301,0,88.726006
82401,1,98.731079
82501,0,83.635193
82601,0,95.180740
82701,0,101.452446
82801,0,90.544121
82901,0,124.360229
83001,0,89.089813
83101,0,83.635132
83201,0,77.272446
83301,0,84.726189
83401,0,84.999077
83501,0,79.635307
83601,0,88.453590
83701,0,78.908226
83801,0,77.908333
83901,0,89.816689
84001,0,78.271927
84101,0,99.634232
84201,1,899.044739
84301,0,90.907471
84401,0,89.998741
84501,0,70.908745
84601,0,88.453346
84701,0,85.816933
84801,0,80.726540
84901,0,78.181152
85001,0,82.908051
85101,0,78.180939
85201,0,83.726433
85301,0,73.090370
85401,0,81.817215
85501,0,75.272034
85601,0,101.635223
85701,0,84.362602
85801,0,93.998604
85901,0,78.181023
86001,0,69.182281
86101,0,80.726349
86201,0,103.998535
86301,0,178.179504
86401,0,125.906624
86501,0,77.453835
86601,0,107.452972
86701,0,76.726562
86801,0,93.272018
86901,0,76.362938
87001,0,101.453560
87101,0,81.089912
87201,0,102.271317
87301,0,102.543159
87401,0,103.998909
87501,0,173.816467
87601,0,102.089592
87701,0,85.816963
87801,1,100.545067
87901,1,78.547462
88001,1,82.550407
88101,0,71.635872
88201,0,70.272507
88301,0,74.908440
88401,0,97.544754
88501,1,73.817986
88601,1,105.001839
88701,0,62.909019
88801,0,90.090256
88901,0,81.817169
89001,0,90.726105
89101,0,73.090355
89201,0,86.544426
89301,0,73.454018
89401,0,80.817322
89501,0,77.453804
89601,0,101.453377
89701,0,87.998749
89801,0,96.544579
89901,0,81.817345
90001,0,84.726952
90101,1,85.817299
90201,0,86.635864
90301,1,179.999268
90401,0,94.362762
90501,0,86.180695
90601,0,79.544853
90701,0,83.271797
90801,0,127.724739
90901,0,84.362556
91001,0,94.453789
91101,0,82.544479
91201,0,94.453728
91301,0,77.817589
91401,0,87.544548
91501,0,75.635796
91601,0,76.726936
91701,0,73.817741
91801,0,82.362762
91901,0,87.271469
92001,0,114.725708
92101,0,178.543518
92201,0,79.181816
92301,0,83.271820
92401,0,101.362648
92501,0,77.454002
92601,0,79.454117
92701,0,71.999542
92801,0,71.999733
92901,0,83.635490
93001,0,80.999153
93101,1,77.091347
93201,0,77.181396
93301,0,87.998711
93401,0,80.181137
93501,0,106.543304
93601,0,77.272064
93701,0,79.999138
93801,0,90.635071
93901,0,87.998726
94001,0,74.636047
94101,0,78.181122
94201,0,76.272255
94301,0,86.544441
94401,0,74.454170
94501,0,72.363136
94601,0,90.544243
94701,0,83.998894
94801,0,80.635612
94901,1,81.817345
95001,0,86.908325
95101,0,85.453400
95201,0,79.908401
95301,0,71.635925
95401,0,76.090454
95501,0,81.453644
95601,0,82.362968
95701,0,77.453865
95801,0,80.999275
95901,0,85.817146
96001,0,73.272202
96101,0,78.181122
96201,0,78.090309
96301,0,71.635872
96401,0,74.817673
96501,0,75.999374
96601,0,86.271782
96701,0,82.908081
96801,0,91.544228
96901,0,76.726654
97001,0,104.089035
97101,0,78.181076
97201,0,75.453972
97301,1,76.363716
97401,0,75.453987
97501,0,81.090096
97601,0,71.999588
97701,0,74.181328
97801,0,80.090179
97901,1,77.090553
98001,0,68.181793
98101,0,89.817047
98201,0,75.636040
98301,0,83.999069
98401,0,84.908470
98501,0,84.362801
98601,0,87.453484
98701,0,81.817383
98801,0,80.817764
98901,0,79.271980
99001,0,83.272064
99101,0,76.726616
99201,0,97.544647
99301,0,79.635818
99401,0,78.999374
99501,1,82.181290
99601,0,78.817635
99701,0,72.726822
99801,0,80.090385
99901,0,83.635406
100001,0,75.454178
100101,0,83.635498
100201,0,69.727104
100301,1,89.817284
100401,0,77.635712
100501,0,78.181038
100601,0,90.998993
100701,0,84.362968
100801,0,69.817863
100901,0,73.090469
101001,0,71.999733
101101,0,74.181313
101201,0,79.999268
101301,0,82.544525
101401,0,84.181061
101501,0,75.635757
101601,0,88.908073
101701,0,73.090462
101801,0,75.908653
101901,0,78.908318
102001,0,80.635712
102101,0,76.726692
102201,0,78.635841
102301,0,86.544380
102401,0,75.090767
102501,1,117.088623
102601,0,90.180687
102701,0,83.635414
102801,0,79.635712
102901,0,70.908730
103001,0,81.726616
103101,0,74.181274
103201,0,84.362755
103301,0,77.090309
103401,0,96.725830
103501,0,75.635857
103601,0,84.181030
103701,0,73.454124
103801,0,94.362381
103901,1,84.003448
104001,0,97.271263
104101,1,80.726807
104201,0,79.999344
104301,0,75.999481
104401,0,80.544807
104501,0,74.908752
104601,0,75.817833
104701,0,81.817284
104801,0,76.726700
104901,1,84.363029
105001,0,78.726677
105101,0,70.908661
105201,0,72.363396
105301,0,82.908394
105401,0,75.635979
105501,0,71.999519
105601,0,79.635887
105701,0,79.999199
105801,0,75.908798
105901,0,79.999252
106001,0,79.999413
106101,0,73.817680
106201,0,76.454071
106301,0,75.999458
106401,0,68.818146
106501,0,83.271980
106601,0,83.363022
106701,0,87.999092
106801,0,72.726921
106901,0,77.090347
107001,0,82.908379
107101,0,72.726784
107201,0,82.090187
107301,0,84.362793
107401,0,76.272408
107501,0,75.999458
107601,0,79.908440
107701,1,84.726593
107801,0,77.544876
107901,0,78.181145
108001,0,71.272476
108101,1,78.545097
108201,0,83.363029
108301,0,96.725838
108401,0,74.635979
108501,0,79.635742
108601,0,86.908127
108701,0,71.636017
108801,0,77.908745
108901,1,80.726738
109001,0,99.089485
109101,0,77.453888
109201,0,73.454277
109301,1,83.272171
109401,0,72.908905
109501,0,82.544601
109601,0,82.544777
109701,0,80.726463
109801,0,85.635567
109901,0,80.362907
110001,0,83.908798
110101,0,85.817238
110201,0,76.181641
110301,0,79.272079
110401,0,71.272552
110501,1,73.817909
110601,0,86.908890
110701,0,71.272408
110801,0,77.545074
110901,0,113.816116
111001,0,79.181274
111101,0,77.817520
111201,0,76.272301
111301,0,78.181152
111401,0,77.090607
111501,0,79.635674
111601,0,75.636017
111701,0,76.726791
111801,0,78.181328
111901,0,78.908386
112001,0,73.090630
112101,0,76.726738
112201,0,78.454010
112301,0,71.999580
112401,0,78.544952
112501,0,79.635643
112601,0,77.817703
112701,1,78.181641
112801,0,76.636101
112901,0,91.635223
113001,0,75.272499
113101,0,68.363419
113201,1,82.455070
113301,0,81.817482
113401,1,85.999825
113501,0,63.272655
113601,0,78.817787
113701,0,74.181374
113801,0,83.363190
113901,0,114.179810
114001,0,75.272308
114101,0,92.362503
114201,0,70.908791
114301,0,70.545143
114401,0,75.908714
114501,0,76.726837
114601,0,76.363335
114701,0,75.999603
114801,0,80.363213
114901,0,86.908272
115001,0,86.635544
115101,0,81.453865
115201,0,92.544502
115301,0,74.545013
115401,0,79.908501
115501,0,80.726593
115601,0,83.362930
115701,0,71.272369
115801,0,81.272049
115901,0,73.454086
116001,0,74.999588
116101,1,453.439758
116201,0,76.545021
116301,0,71.272430
116401,0,75.545067
116501,0,81.090263
116601,0,79.454079
116701,0,71.272385
116801,0,83.635674
116901,0,77.817940
117001,0,76.908669
117101,0,77.090302
117201,0,90.908127
117301,0,76.363113
117401,0,89.908272
117501,0,82.544708
117601,0,89.453789
117701,0,74.181282
117801,0,102.453224
117901,0,82.544685
118001,0,112.907356
118101,0,76.363319
118201,0,113.816383
118301,0,72.726921
118401,0,79.544800
118501,0,66.908966
118601,0,85.181206
118701,0,79.635750
118801,0,79.363533
118901,0,86.908180
119001,0,82.363068
119101,0,79.272316
119201,0,83.454010
119301,0,76.363106
119401,0,83.181404
119501,0,83.999168
119601,0,70.090851
119701,0,72.363281
119801,0,76.363358
119901,0,73.090508
120001,0,80.454109
120101,0,70.181656
120201,0,79.272324
120301,0,82.181038
120401,0,74.635971
120501,0,85.817307
120601,0,74.726898
120701,0,107.634697
120801,0,75.908752
120901,0,79.635750
121001,0,109.544312
121101,0,86.180923
121201,0,94.181320
121301,0,175.634903
121401,0,107.453606
121501,0,77.817657
121601,0,94.635345
121701,0,170.544510
121801,0,104.817253
121901,0,80.726624
122001,0,95.999466
122101,0,78.181213
122201,0,82.272285
122301,0,71.635994
122401,0,78.363213
122501,0,71.999680
122601,0,99.090096
122701,0,78.908569
122801,0,86.272301
122901,0,65.454620
123001,0,81.090500
123101,0,74.181435
123201,0,123.180290
123301,0,77.817657
123401,0,82.362976
123501,0,73.817810
123601,0,92.362663
123701,0,75.635857
123801,0,80.908661
123901,0,78.544945
124001,0,96.089844
124101,0,76.726730
124201,0,101.635231
124301,0,74.908638
124401,0,104.453590
124501,0,77.454102
124601,0,76.545082
124701,0,81.817535
124801,0,75.908760
124901,0,71.999763
125001,0,103.362770
125101,0,77.090584
125201,0,114.726082
125301,0,74.908806
125401,0,74.999634
125501,0,73.817780
125601,0,112.998955
125701,0,75.635971
125801,0,94.817802
125901,1,81.817734
126001,0,99.453789
126101,0,77.817688
126201,0,98.999336
126301,0,79.635773
126401,0,102.090233
126501,0,83.272049
126601,0,84.726555
126701,0,74.908722
126801,0,85.817924
126901,0,78.544907
127001,0,110.817558
127101,0,82.181229
127201,0,100.726028
127301,0,70.181580
127401,0,94.726677
127501,0,82.544815
127601,0,76.090569
127701,0,66.908943
127801,0,81.999725
127901,0,66.545380
128001,0,120.362473
128101,0,81.090279
128201,0,84.272118
128301,0,77.090332
128401,0,80.817589
128501,0,74.181404
128601,0,75.454315
128701,0,106.907913
128801,0,64.909103
128901,0,67.636131
129001,0,74.817940
129101,0,76.726791
129201,0,75.817863
129301,0,77.090401
129401,0,82.817596
129501,0,71.999626
129601,0,77.272331
129701,0,78.181351
129801,0,77.181358
129901,0,85.817421
130001,0,76.363228
130101,0,73.817780
130201,0,83.908417
130301,0,79.635735
130401,0,79.272186
130501,0,82.181183
130601,0,91.999542
130701,0,166.180878
130801,0,77.999565
130901,0,70.181686
131001,0,70.181671
131101,0,71.999809
131201,0,82.544968
131301,0,84.363091
131401,0,74.817856
131501,0,76.363266
131601,0,109.998947
131701,0,76.363441
131801,0,77.545021
131901,0,71.272453
132001,0,78.090561
132101,0,70.908867
132201,0,76.545052
132301,0,86.908371
132401,0,79.999557
132501,1,74.547356
132601,0,75.908737
132701,0,75.999596
132801,0,82.635826
132901,0,76.363197
133001,0,74.726936
133101,0,73.090683
133201,0,85.999306
133301,0,69.090691
133401,0,74.090729
133501,0,75.999535
133601,0,79.454041
133701,0,73.454216
133801,0,85.454048
133901,0,82.908386
134001,0,78.817871
134101,0,64.363655
134201,0,76.817795
134301,0,78.181328
134401,0,77.272530
134501,0,80.363029
134601,0,97.908478
134701,0,84.726555
134801,0,76.726868
134901,0,78.181320
135001,0,75.272369
135101,0,71.272423
135201,0,80.363281
135301,0,74.181488
135401,0,78.181351
135501,0,77.090385
135601,0,87.999275
135701,0,73.454147
